id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
583434,Landing Page Submission,Direct Traffic,No,No,0,2.0,404,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
658243,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,17.0,No
636769,Landing Page Submission,Direct Traffic,No,No,0,2.0,1492,2.0,SMS Sent,Travel and Tourism,Unemployed,No,No,No,No,No,No,14.0,14.0,Yes
620170,Landing Page Submission,Direct Traffic,No,No,0,1.0,199,1.0,Converted to Lead,Marketing Management,Student,No,No,No,No,No,No,,,Yes
619310,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
643054,Landing Page Submission,Direct Traffic,No,No,0,3.0,100,3.0,SMS Sent,,,No,No,No,No,No,No,14.0,17.0,No
650170,Landing Page Submission,Google,No,No,0,10.0,1521,2.5,Page Visited on Website,Healthcare Management,Unemployed,No,No,No,No,No,No,14.0,14.0,No
595985,Landing Page Submission,Organic Search,No,No,1,20.0,213,4.0,SMS Sent,Travel and Tourism,Unemployed,No,No,No,No,No,No,,,Yes
638862,Landing Page Submission,Direct Traffic,No,No,0,5.0,94,5.0,SMS Sent,,,No,No,No,No,No,No,16.0,17.0,No
584591,Landing Page Submission,Direct Traffic,No,No,0,2.0,244,2.0,Form Submitted on Website,Supply Chain Management,Unemployed,No,No,No,No,No,No,14.0,17.0,Yes
620605,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,,,No
627970,Landing Page Submission,Google,No,No,1,3.0,1178,3.0,SMS Sent,Supply Chain Management,,No,No,No,No,No,No,,,No
614840,Landing Page Submission,Direct Traffic,No,No,1,3.0,112,3.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,,,Yes
592880,API,Chat,No,No,0,0.0,0,0.0,Email Link Clicked,,,No,No,No,No,No,No,17.0,15.0,No
643998,API,Social Media,No,No,1,2.0,942,2.0,Chat Conversation,Supply Chain Management,Unemployed,No,No,No,No,No,No,15.0,14.0,No
582206,Landing Page Submission,Google,No,No,0,2.0,723,2.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,13.0,20.0,No
636616,Landing Page Submission,Direct Traffic,No,No,0,15.0,260,5.0,Page Visited on Website,"Banking, Investment And Insurance",,No,No,No,No,No,No,16.0,18.0,Yes
605210,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Business Administration,Working Professional,No,No,No,No,No,No,,,No
597776,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
587341,Lead Add Form,Reference,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,17.0,No
635757,Landing Page Submission,Google,No,No,1,6.0,1252,3.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,18.0,No
640081,Lead Add Form,,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,15.0,16.0,No
648605,Landing Page Submission,Google,No,No,1,4.0,776,4.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,15.0,20.0,No
592438,API,Google,No,No,1,5.0,1374,2.5,SMS Sent,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
593985,Landing Page Submission,Direct Traffic,No,No,1,5.0,253,5.0,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,,,Yes
593410,Landing Page Submission,Direct Traffic,No,No,0,4.0,1106,1.33,Chat Conversation,Retail Management,,No,No,No,No,No,No,12.0,18.0,Yes
621166,Landing Page Submission,Google,No,No,0,2.0,111,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
642018,Landing Page Submission,Google,No,No,0,7.0,8,7.0,SMS Sent,Human Resource Management,,No,No,No,No,No,No,14.0,18.0,Yes
603162,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,,,No
601866,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Student,No,No,No,No,No,No,,,No
641084,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No
602617,Landing Page Submission,Direct Traffic,No,No,1,6.0,464,6.0,SMS Sent,Travel and Tourism,,No,No,No,No,No,No,,,Yes
623167,Landing Page Submission,Google,No,No,1,5.0,1455,5.0,Chat Conversation,"Banking, Investment And Insurance",Working Professional,No,No,No,No,No,No,,,Yes
648634,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
642222,API,Google,No,No,1,2.0,594,1.0,SMS Sent,IT Projects Management,Unemployed,No,No,No,No,No,No,15.0,13.0,No
613633,API,Google,No,No,1,3.0,1510,3.0,Email Opened,Travel and Tourism,Unemployed,No,No,No,No,No,No,,,No
581727,Landing Page Submission,Google,No,No,1,6.0,161,1.5,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,13.0,16.0,No
653715,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,14.0,15.0,No
598891,Landing Page Submission,Direct Traffic,No,No,1,5.0,1694,1.67,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,Yes
597182,Landing Page Submission,Organic Search,No,No,0,9.0,540,9.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,,,Yes
630200,Landing Page Submission,Google,No,No,1,5.0,1925,5.0,SMS Sent,International Business,Working Professional,No,No,No,No,No,No,,,No
647939,Landing Page Submission,Direct Traffic,No,No,0,2.0,253,2.0,Email Opened,Business Administration,,No,No,No,No,No,No,13.0,16.0,Yes
596596,Landing Page Submission,Direct Traffic,Yes,No,0,5.0,154,5.0,Email Bounced,IT Projects Management,Unemployed,No,No,No,No,No,No,,,Yes
649339,Lead Add Form,Reference,No,No,0,0.0,0,0.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,19.0,No
643279,Lead Import,Facebook,No,No,0,8.0,76,8.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,13.0,14.0,No
619272,API,Chat,Yes,No,1,0.0,0,0.0,SMS Sent,Finance Management,Working Professional,No,No,No,No,No,No,,,No
596638,Landing Page Submission,Direct Traffic,No,No,0,5.0,354,2.5,Email Opened,Healthcare Management,,No,No,No,No,No,No,,,Yes
599682,Landing Page Submission,Organic Search,No,No,1,5.0,738,5.0,SMS Sent,Healthcare Management,Unemployed,No,No,No,No,No,No,,,Yes
615582,Landing Page Submission,Google,No,No,1,8.0,252,2.67,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,Yes
595511,API,Chat,No,No,0,3.0,1440,1.5,Chat Conversation,Marketing Management,,No,No,No,No,No,No,15.0,15.0,No
602406,Landing Page Submission,Direct Traffic,No,No,1,3.0,1576,1.5,SMS Sent,IT Projects Management,,No,No,No,No,No,No,,,No
656481,API,Referral Sites,No,No,0,10.0,66,10.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,13.0,No
629811,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,,,No
611795,Landing Page Submission,Direct Traffic,No,No,0,3.0,71,1.5,SMS Sent,Marketing Management,Unemployed,No,No,No,No,No,No,,,Yes
608022,Landing Page Submission,Direct Traffic,No,No,1,4.0,1300,4.0,SMS Sent,Finance Management,Working Professional,No,No,No,No,No,No,,,Yes
